,nvplay_name,cricinfo_id,name
0,Fazle Mahmud,55893.0,Fazle Mahmud
1,M Shoriful Islam,990039.0,Shoriful Islam
2,H Murad,990161.0,Hasan Murad
3,M Sheikh,1161862.0,Mohor Sheikh
4,Nabil Samad,56058.0,Nabil Samad
5,Mohammad Irfan,429981.0,Mohammad Irfan
6,A Jones,957645.0,Aaron Jones
7,A Ahmed,734459.0,Abrar Ahmed
8,DJ Malan,236489.0,Dawid Malan
9,F Farooqi,974175.0,Fazalhaq Farooqi
10,Ashiqur M Zaman,1276983.0,Ashiqur Zaman
11,M Rahman,330902.0,Mustafizur Rahman
12,K Shah,716733.0,Khushdil Shah
13,JA Anik,824541.0,Jaker Ali
14,M Nabi,25913.0,Mohammad Nabi
15,MS Hossain,550133.0,Mosaddek Hossain
16,I Kayes,280734.0,Imrul Kayes
17,LK Das,536936.0,Litton Das
18,Mehedi Maruf,228210.0,Mehedi Maruf
19,M Hasan,833087.0,Mahedi Hasan
20,PM Pushpakumara,50205.0,Malinda Pushpakumara
21,Nihaduzzaman,629065.0,Nihaduzzaman
22,Mrittunjoy Chowdhury,1012137.0,Mrittunjoy Chowdhury
23,Unmukt Chand,446499.0,Unmukt Chand
24,Usman Khan,1123428.0,Usman Khan
25,Usman Khan,467829.0,Usman Khan
26,Afif Dhrubo Hossain,935995.0,Afif Hossain
27,Shuvagata Hom,402992.0,Shuvagata Hom
28,M Shykat Ali,314743.0,Shykat Ali
29,Al-Amin,549947.0,Al-Amin
30,D Rasooli,819441.0,Darwish Rasooli
31,CN Ackermann,379774.0,Colin Ackermann
32,Mehedi Hasan Rana,878465.0,Mehedi Hasan Rana
33,NH Shanto,629058.0,Najmul Hossain Shanto
34,Zakir Hasan,697059.0,Zakir Hasan
35,Benny Howell,211748.0,Benny Howell
36,NQ Hasan,410765.0,Nurul Hasan
37,SB Raza,299572.0,Sikandar Raza
38,Shoaib Malik,42657.0,Shoaib Malik
39,R Talukdar,300617.0,Rony Talukdar
40,MS Naim,990081.0,Mohammad Naim
41,MM Rahim,56029.0,Mushfiqur Rahim
42,MT Hridoy,990031.0,Towhid Hridoy
43,Thisara Perera,233514.0,Thisara Perera
44,Y Ali Chowdhury,629059.0,Yasir Ali
45,M Saifuddin,629070.0,Mohammad Saifuddin
46,Sharjeel Khan,227762.0,Sharjeel Khan
47,TK Iqbal,56194.0,Tamim Iqbal
48,M Hasan Miraz,629063.0,Mehidy Hasan Miraz
49,M  Shahriar,549950.0,Munim Shahriar
50,K Janat,793467.0,Karim Janat
51,Azam Khan,39020.0,Azam Khan
52,M Mahmudullah,56025.0,Mahmudullah
53,SM Rahman,373538.0,Sabbir Rahman
54,N Islam,675945.0,Nahidul Islam
55,Wahab Riaz,43590.0,Wahab Riaz
56,PA van Meekeren,348109.0,Paul van Meekeren
57,D Munaweera,304735.0,Dilshan Munaweera
58,Ahmed Shehzad,259410.0,Ahmed Shehzad
59,S Sarkar,436677.0,Soumya Sarkar
60,Mohammad Mithun,269237.0,Mohammad Mithun
61,Nasir Hossain,300618.0,Nasir Hossain
62,U Ghani,711559.0,Usman Ghani
63,H Ali,1168651.0,Haider Ali
64,I Ahmed,480603.0,Iftikhar Ahmed
65,Ariful Haque,270135.0,Ariful Haque
66,PC de Silva,345825.0,Chaturanga de Silva
67,A Haque,29403.0,A Haque
68,Azam Khan,1137262.0,Azam Khan
69,S Al Hasan,56143.0,Shakib Al Hasan
