,nvplay_name,name,cricinfo_id
0,BA King,Brandon King,670035.0
1,EJG Morgan,Eoin Morgan,24598.0
2,JM Vince,James Vince,296597.0
3,CJ Jordan,Chris Jordan,288992.0
4,T Banton,Tom Banton,877051.0
5,LA Dawson,Liam Dawson,211855.0
6,MM Ali,Moeen Ali,8917.0
7,SS Cotterell,Sheldon Cottrell,495551.0
8,SS Cottrell,Sheldon Cottrell,495551.0
9,AU Rashid,Adil Rashid,244497.0
10,SD Hope,Shai Hope,581379.0
11,JJ Roy,Jason Roy,298438.0
12,S Mahmood,Saqib Mahmood,643885.0
13,N Pooran,Nicholas Pooran,604302.0
14,SW Billings,Sam Billings,297628.0
15,OF Smith,Odean Smith,820691.0
16,KA Pollard,Kieron Pollard,230559.0
17,JO Holder,Jason Holder,391485.0
18,FA Allen,Fabian Allen,670013.0
19,AJ Hosein,Akeal Hosein,530812.0
20,R Shepherd,Romario Shepherd,677077.0
21,DM Bravo,Darren Bravo,277472.0
22,T Mills,Tymal Mills,459257.0
23,PD Salt,Phil Salt,669365.0
24,LS Livingstone,Liam Livingstone,403902.0
25,R Powell,Rovman Powell,820351.0
26,G Garton,George Garton,643433.0
27,RJW Topley,Reece Topley,461632.0
28,HC Brook,Harry Brook,911707.0
29,KR Mayers,Kyle Mayers,348056.0
30,MD Gunathilaka,Danushka Gunathilaka,345821.0
31,B McDermott,Ben McDermott,603410.0
32,MA Starc,Mitchell Starc,311592.0
33,Josh Inglis,Josh Inglis,662235.0
34,LD Chandimal,Dinesh Chandimal,300628.0
35,AJ Finch,Aaron Finch,5334.0
36,MS Wade,Matthew Wade,230193.0
37,A Zampa,Adam Zampa,379504.0
38,JR Hazlewood,Josh Hazlewood,288284.0
39,GJ Maxwell,Glenn Maxwell,325026.0
40,SPD Smith,Steven Smith,267192.0
41,WIA Fernando,Avishka Fernando,784369.0
42,KIC Asalanka,Charith Asalanka,784367.0
43,PW Hasaranga,Wanindu Hasaranga,784379.0
44,B Fernando,Binura Fernando,629080.0
45,MD Shanaka,Dasun Shanaka,437316.0
46,C Karunaratne,Chamika Karunaratne,623695.0
47,PVD Chameera,Dushmantha Chameera,552152.0
48,MP Stoinis,Marcus Stoinis,325012.0
49,PN Nissanka Silva,Pathum Nissanka,1028655.0
50,PJ Cummins,Pat Cummins,489889.0
51,MM Theekshana,Maheesh Theekshana,1138316.0
52,BKG Mendis,Kusal Mendis,629074.0
53,AC Agar,Ashton Agar,505120.0
54,SA Yadav,Suryakumar Yadav,446507.0
55,V Kohli,Virat Kohli,253802.0
56,IPKP Kishan,Ishan Kishan,720471.0
57,RG Sharma,Rohit Sharma,34102.0
58,VR Iyer,Venkatesh Iyer,851403.0
59,RL Chase,Roston Chase,391832.0
60,RR Pant,Rishabh Pant,931581.0
61,YS Chahal,Yuzvendra Chahal,430246.0
62,HV Patel,Harshal Patel,390481.0
63,JDF Vandersay,Jeffrey Vandersay,370040.0
64,L Kumara,Lahiru Kumara,784375.0
65,RD Gaikwad,Ruturaj Gaikwad,1060380.0
66,JKV Liyanage,Janith Liyanage,681681.0
67,Dominic Drakes,Dominic Drakes,906749.0
68,KRVP Mishara,Kamil Mishara,1075863.0
69,DR Sams,Daniel Sams,826901.0
70,HR Walsh,Hayden Walsh,443263.0
71,PAKP Jayawickrama,Praveen Jayawickrama,1028665.0
72,S Iyer,Shreyas Iyer,642519.0
73,S Thakur,Shardul Thakur,475281.0
74,RA Jadeja,Ravindra Jadeja,234675.0
75,JJ Bumrah,Jasprit Bumrah,625383.0
76,SV Samson,Sanju Samson,425943.0
77,DJ Hooda,Deepak Hooda,497121.0
78,K Yadav,Kuldeep Yadav,559235.0
79,M Rizwan,Mohammad Rizwan,323389.0
80,K Shah,Khushdil Shah,716733.0
81,H Ali,Haider Ali,1168651.0
82,F Zaman,Fakhar Zaman,512191.0
83,BM Azam,Babar Azam,348144.0
84,Shaheen Shah Afridi,Shaheen Shah Afridi,1072470.0
85,I Ahmed,Iftikhar Ahmed,480603.0
86,U Qadir,Usman Qadir,348152.0
87,T Head,Travis Head,530011.0
88,CD Green,Cameron Green,1076713.0
89,SA Abbott,Sean Abbott,398666.0
90,M Wasim,Mohammad Wasim,1185538.0
91,B Dwarshuis,Ben Dwarshuis,679567.0
92,A Ali,Asif Ali,494230.0
93,M Labuschagne,Marnus Labuschagne,787987.0
94,DA Warner,David Warner,219889.0
95,Nuwan Thushara,Nuwan Thushara,955235.0
96,PBB Rajapaksa,Bhanuka Rajapaksa,342619.0
97,MR Marsh,Mitchell Marsh,272450.0
98,Jhye Richardson,Jhye Richardson,774223.0
99,Q de Kock,Quinton de Kock,379143.0
100,T Bavuma,Temba Bavuma,372116.0
101,DA Miller,David Miller,321777.0
102,KD Karthik,Dinesh Karthik,30045.0
103,HE van der Dussen,Rassie van der Dussen,337790.0
104,HH Pandya,Hardik Pandya,625371.0
105,D Pretorius,Dwaine Pretorius,327830.0
106,RP Burl,Ryan Burl,495964.0
107,CR Ervine,Craig Ervine,55412.0
108,M Shumba,Milton Shumba,951781.0
109,H Zazai,Hazratullah Zazai,793457.0
110,B Muzarabani,Blessing Muzarabani,827051.0
111,WN Madhevere,Wessly Madhevere,938959.0
112,I Kaia,Innocent Kaia,465327.0
113,M Nabi,Mohammad Nabi,25913.0
114,SB Raza,Sikandar Raza,299572.0
115,A Ndlovu,Ainsley Ndlovu,596456.0
116,TL Chatara,Tendai Chatara,425639.0
117,R Gurbaz,Rahmanullah Gurbaz,974087.0
118,U Ghani,Usman Ghani,711559.0
119,N Zadran,Najibullah Zadran,524049.0
120,F Farooqi,Fazalhaq Farooqi,974175.0
121,LM Jongwe,Devon Conway,379140.0
122,RW Chakabva,Regis Chakabva,293831.0
123,D Rasooli,Darwish Rasooli,819441.0
124,AR Patel,Axar Patel,554691.0
125,WD Parnell,Wayne Parnell,265564.0
126,H Klaasen,Heinrich Klaasen,436757.0
127,DT Tiripano,Donald Tiripano,392945.0
128,RA Khan,Rashid Khan,793463.0
129,K Janat,Karim Janat,793467.0
130,RR Hendricks,Reeza Hendricks,269280.0
131,TR Marumani,Tadiwanashe Marumani,946507.0
132,KA Maharaj,Keshav Maharaj,267724.0
133,K Rabada,Kagiso Rabada,550215.0
134,T Shamsi,Tabraiz Shamsi,379145.0
135,A Omarzai,Azmatullah Omarzai,819429.0
136,C Madande,Clive Madande,1045883.0
137,AK Zazai,Afsar Zazai,420402.0
138,AA Nortje,Anrich Nortje,481979.0
139,S Ashraf,Sharafuddin Ashraf,633362.0
140,Ihsanullah,Ihsanullah,703323.0
141,N Masood,Nijat Masood,913843.0
142,NL Ahmad,Noor Ahmad,1182529.0
143,M Jansen,Marco Jansen,696401.0
144,LT Ngidi,Lungi Ngidi,542023.0
145,A Haque,A Haque,29403.0
146,M Hasan,Mahedi Hasan,833087.0
147,NQ Hasan,Nurul Hasan,410765.0
