,nvplay_name,name,cricinfo_id
0,Hardus Viljoen,Hardus Viljoen,375126.0
1,MM Theekshana,Maheesh Theekshana,1138316.0
2,A Ali,Asif Ali,494230.0
3,M Ur Rahman,Mujeeb Ur Rahman,974109.0
4,DA Miller,David Miller,321777.0
5,PVD Chameera,Dushmantha Chameera,552152.0
6,F Zaman,Fakhar Zaman,512191.0
7,Akila Dananjaya,Akila Dananjaya,574178.0
8,K Rajitha,Kasun Rajitha,499594.0
9,T Shamsi,Tabraiz Shamsi,379145.0
10,R Ngarava,Richard Ngarava,806241.0
11,Sahan Arachchige,Sahan Arachchige,693975.0
12,N Burger,Nandre Burger,971349.0
13,Nuwan Thushara,Nuwan Thushara,955235.0
14,PL Madushan,Pramod Madushan,826689.0
15,V Viyaskanth,Vijayakanth Viyaskanth,1153149.0
16,H Ali,Haider Ali,1168651.0
17,JKV Liyanage,Janith Liyanage,681681.0
18,NL Ahmad,Noor Ahmad,1182529.0
19,Shoaib Malik,Shoaib Malik,42657.0
20,I Ahmed,Iftikhar Ahmed,480603.0
21,M Haris,Mohammad Haris,1205559.0
22,Lahiru Udara,Lahiru Udara,704693.0
23,Ashan Priyanjan,Ashan Priyanjan,233802.0
24,MADI Hemantha,Dushan Hemantha,721041.0
25,Sohan de Livera,Sohan de Livera,1214967.0
26,CJ Bowes,Chad Bowes,379890.0
27,C Lynn,Chris Lynn,326637.0
28,B McDermott,Ben McDermott,603410.0
29,AK Perera,Angelo Perera,300629.0
30,JDF Vandersay,Jeffrey Vandersay,370040.0
31,Nipun Dhananjaya,Nipun Dhananjaya,1126082.0
32,PC de Silva,Chaturanga de Silva,345825.0
33,DAS Gunaratne,Asela Gunaratne,360456.0
34,Dilshan Madushanka,Dilshan Madushanka,793007.0
35,Sachitha Jayatilake,Sachitha Jayatilake,727399.0
36,Lakshan Edirisinghe,Lakshan Edirisinghe,596303.0
37,Nuwan Pradeep,Nuwan Pradeep,324358.0
38,LK Das,Litton Das,536936.0
39,M Shoriful Islam,Shoriful Islam,990039.0
40,N Zadran,Najibullah Zadran,524049.0
41,S Prasanna,Seekkuge Prasanna,268740.0
42,L Kumara,Lahiru Kumara,784375.0
43,Lahiru Madushanka,Lahiru Madushanka,428366.0
44,Sonal Dinusha,Sonal Dinusha,1153148.0
45,Dunith Wellalage,Dunith Wellalage,1152427.0
46,Thisara Perera,Thisara Perera,233514.0
47,Priyamal Perera,Priyamal Perera,653033.0
48,BM Azam,Babar Azam,348144.0
49,KIC Asalanka,Charith Asalanka,784367.0
50,R Gurbaz,Rahmanullah Gurbaz,974087.0
51,Niroshan Dickwella,Niroshan Dickwella,429754.0
52,MT Hridoy,Towhid Hridoy,990031.0
53,PN Nissanka Silva,Pathum Nissanka,1028655.0
54,M Nawaz,Mohammad Nawaz,348148.0
55,Yashodha Lanka,Yashodha Lanka,429947.0
56,C Karunaratne,Chamika Karunaratne,623695.0
57,WRT Mendis,Ramesh Mendis,629084.0
58,N Shah,Naseem Shah,1158088.0
59,L Sandakan,Lakshan Sandakan,429738.0
60,M Pathirana,Matheesha Pathirana,1194795.0
61,KNF Madushka,Nishan Madushka,1126045.0
62,MNK Fernando,Nuwanidu Fernando,1074333.0
63,B Fernando,Binura Fernando,629080.0
64,H Kerr,Hayden Kerr,1163855.0
65,RS Fernando,Ravindu Fernando,1217156.0
66,A Ross,Alex Ross,333624.0
67,WSR Samarawickrama,Sadeera Samarawickrama,629076.0
68,WIA Fernando,Avishka Fernando,784369.0
69,DM de Silva,Dhananjaya de Silva,465793.0
70,BKG Mendis,Kusal Mendis,629074.0
71,Dhananjaya Lakshan,Dhananjaya Lakshan,792519.0
72,L Samarakoon,Lahiru Samarakoon,924551.0
73,MD Shanaka,Dasun Shanaka,437316.0
74,S Al Hasan,Shakib Al Hasan,56143.0
75,MDKJ Perera,Kusal Perera,300631.0
76,PM Dabare,Thanuka Dabare,931015.0
77,KNA Bandara,Ashen Bandara,958691.0
78,PHKD Mendis,Kamindu Mendis,784373.0
79,AD Mathews,Angelo Mathews,49764.0
80,PW Hasaranga,Wanindu Hasaranga,784379.0
81,S Ahmed,Iftikhar Ahmed,480603.0
82,A Jamal,Aamer Jamal,793441.0
83,TL Seifert,Tim Seifert,625964.0
84,I Udana,Isuru Udana,328026.0
85,Lasith Croospulle,Lasith Croospulle,1027867.0
86,MVT Fernando,Vishwa Fernando,465783.0
87,PAKP Jayawickrama,Praveen Jayawickrama,1028665.0
88,S Dahani,Shahnawaz Dahani,1203995.0
89,Shevon Daniel,Shevon Daniel,1194744.0
90,M Hasnain,Mohammad Hasnain,1158100.0
91,LD Chandimal,Dinesh Chandimal,300628.0
92,PBB Rajapaksa,Bhanuka Rajapaksa,342619.0
