nvplay_name,cricinfo_id,name
Fazle Mahmud,55893.0,Fazle Mahmud
M Shoriful Islam,990039.0,Shoriful Islam
H Murad,990161.0,Hasan Murad
M Sheikh,1161862.0,Mohor Sheikh
Nabil Samad,56058.0,Nabil Samad
Mohammad Irfan,429981.0,Mohammad Irfan
A Jones,957645.0,Aaron Jones
A Ahmed,734459.0,Abrar Ahmed
DJ Malan,236489.0,Dawid Malan
F Farooqi,974175.0,Fazalhaq Farooqi
Ashiqur M Zaman,1276983.0,Ashiqur Zaman
M Rahman,330902.0,Mustafizur Rahman
K Shah,716733.0,Khushdil Shah
JA Anik,824541.0,Jaker Ali
M Nabi,25913.0,Mohammad Nabi
MS Hossain,550133.0,Mosaddek Hossain
I Kayes,280734.0,Imrul Kayes
LK Das,536936.0,Litton Das
Mehedi Maruf,228210.0,Mehedi Maruf
M Hasan,833087.0,Mahedi Hasan
PM Pushpakumara,50205.0,Malinda Pushpakumara
Nihaduzzaman,629065.0,Nihaduzzaman
Mrittunjoy Chowdhury,1012137.0,Mrittunjoy Chowdhury
Unmukt Chand,446499.0,Unmukt Chand
Usman Khan,1123428.0,Usman Khan
Usman Khan,467829.0,Usman Khan
Afif Dhrubo Hossain,935995.0,Afif Hossain
Shuvagata Hom,402992.0,Shuvagata Hom
M Shykat Ali,314743.0,Shykat Ali
Al-Amin,549947.0,Al-Amin
D Rasooli,819441.0,Darwish Rasooli
CN Ackermann,379774.0,Colin Ackermann
Mehedi Hasan Rana,878465.0,Mehedi Hasan Rana
NH Shanto,629058.0,Najmul Hossain Shanto
Zakir Hasan,697059.0,Zakir Hasan
Benny Howell,211748.0,Benny Howell
NQ Hasan,410765.0,Nurul Hasan
SB Raza,299572.0,Sikandar Raza
Shoaib Malik,42657.0,Shoaib Malik
R Talukdar,300617.0,Rony Talukdar
MS Naim,990081.0,Mohammad Naim
MM Rahim,56029.0,Mushfiqur Rahim
MT Hridoy,990031.0,Towhid Hridoy
Thisara Perera,233514.0,Thisara Perera
Y Ali Chowdhury,629059.0,Yasir Ali
M Saifuddin,629070.0,Mohammad Saifuddin
Sharjeel Khan,227762.0,Sharjeel Khan
TK Iqbal,56194.0,Tamim Iqbal
M Hasan Miraz,629063.0,Mehidy Hasan Miraz
M  Shahriar,549950.0,Munim Shahriar
K Janat,793467.0,Karim Janat
Azam Khan,39020.0,Azam Khan
M Mahmudullah,56025.0,Mahmudullah
SM Rahman,373538.0,Sabbir Rahman
N Islam,675945.0,Nahidul Islam
Wahab Riaz,43590.0,Wahab Riaz
PA van Meekeren,348109.0,Paul van Meekeren
D Munaweera,304735.0,Dilshan Munaweera
Ahmed Shehzad,259410.0,Ahmed Shehzad
S Sarkar,436677.0,Soumya Sarkar
Mohammad Mithun,269237.0,Mohammad Mithun
Nasir Hossain,300618.0,Nasir Hossain
U Ghani,711559.0,Usman Ghani
H Ali,1168651.0,Haider Ali
I Ahmed,480603.0,Iftikhar Ahmed
Ariful Haque,270135.0,Ariful Haque
PC de Silva,345825.0,Chaturanga de Silva
