,nvplay_name,Match,Date,cricinfo_id,name
93,Imran Tahir,Gulf Giants v MI Emirates,01/02/2023,40618.0,Imran Tahir
91,Jordan Thompson,Gulf Giants v MI Emirates,01/02/2023,766809.0,Jordan Thompson
92,TA Boult,Gulf Giants v MI Emirates,01/02/2023,,
94,F Farooqi,Gulf Giants v MI Emirates,01/02/2023,,
90,B Hameed,Gulf Giants v MI Emirates,01/02/2023,,
95,A Zampa,Dubai Capitals v Desert Vipers,02/02/2023,,
96,FJ Klaassen,Dubai Capitals v Desert Vipers,02/02/2023,,
97,LJ Tucker,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,,
98,M de Lange,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,,
99,Sabir Ali,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,1328438.0,Sabir Ali
100,CR Brathwaite,Desert Vipers v Gulf Giants,04/02/2023,,
101,Dominic Drakes,Desert Vipers v Gulf Giants,04/02/2023,906749.0,Dominic Drakes
104,M Jawadullah,Abu Dhabi Knight Riders v Sharjah Warriors,04/02/2023,,
102,JB Lintott,Desert Vipers v Gulf Giants,04/02/2023,,
103,CG Benjamin,Abu Dhabi Knight Riders v Sharjah Warriors,04/02/2023,,
105,B de Leede,Dubai Capitals v MI Emirates,05/02/2023,,
106,C Overton,Dubai Capitals v MI Emirates,05/02/2023,,
107,C de Grandhomme,Sharjah Warriors v Gulf Giants,06/02/2023,,
114,TG Helm,Sharjah Warriors v Gulf Giants,06/02/2023,,
115,QK Ahmad,Sharjah Warriors v Gulf Giants,06/02/2023,,
117,RJW Topley,MI Emirates v Dubai Capitals,09/02/2023,,
116,RA Khan,MI Emirates v Dubai Capitals,09/02/2023,,
108,Adam Lyth,Desert Vipers v Gulf Giants,12/02/2023,251721.0,Adam Lyth
0,R Uthappa,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
118,,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
10,BA King,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
5,Yusuf Pathan,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,32498.0,Yusuf Pathan
6,Ravi Bopara,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,10582.0,Ravi Bopara
7,I Udana,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
8,Colin Ingram,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,45705.0,Colin Ingram
9,PR Stirling,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
1,JE Root,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
11,Zawar Farid,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1196500.0,Zawar Farid
4,SB Raza,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
12,SP Narine,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
14,Connor Esterhuizen,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1070997.0,Connor Esterhuizen
15,AJ Hosein,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
16,Fahad Nawaz,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1126002.0,Fahad Nawaz
17,Ravi Rampaul,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,52912.0,Ravi Rampaul
18,Muhammad Ali Khan,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
3,R Powell,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
2,PBB Rajapaksa,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
13,AD Russell,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,,
23,KA Pollard,MI Emirates v Sharjah Warriors,14/01/2023,,
110,Z Khan,MI Emirates v Sharjah Warriors,14/01/2023,,
25,DJ Bravo,MI Emirates v Sharjah Warriors,14/01/2023,,
24,N Zadran,MI Emirates v Sharjah Warriors,14/01/2023,,
19,W Smeed,MI Emirates v Sharjah Warriors,14/01/2023,,
20,M Waseem,MI Emirates v Sharjah Warriors,14/01/2023,,
109,KP Meiyappan,MI Emirates v Sharjah Warriors,14/01/2023,,
21,Andre Fletcher,MI Emirates v Sharjah Warriors,14/01/2023,51862.0,Andre Fletcher
22,N Pooran,MI Emirates v Sharjah Warriors,14/01/2023,,
