,player,Match,Date,cricinfo_id
0,Y Bhatia,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,960715
1,H Mathews,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,474308
2,Natalie Sciver,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,515905
3,H Kaur,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,372317.0
4,Amelia Kerr,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,803971.0
5,P Vastrakar,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,883413.0
6,Issy Wong,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,1146066.0
7,S Meghana,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,556529.0
8,B Mooney,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,381258
9,H Deol,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,960845.0
10,Ashleigh Gardner,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,858809.0
11,A Sutherland,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,1071705.0
12,D Hemalatha,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,961107.0
13,GL Wareham,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,946057
14,S Rana,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,33757.0
15,S Rana,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,556537.0
16,S Rana,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,794725.0
17,Tanuja Kanwar,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,960847.0
18,M Joshi,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,960815.0
19,M Patel,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,1159867.0
20,M Patel,Mumbai Indians Women v Gujarat Giants Women,04/03/2023,307959.0
21,Meg Lanning,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,329336.0
22,S  Verma,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,1182523
23,M Kapp,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,351836.0
