,player,cricinfo_id
0,Y Bhatia,
1,H Mathews,
2,Natalie Sciver,
3,H Kaur,372317.0
4,Amelia Kerr,803971.0
5,P Vastrakar,883413.0
6,Issy Wong,1146066.0
7,S Meghana,556529.0
8,B Mooney,
9,H Deol,960845.0
10,Ashleigh Gardner,858809.0
11,A Sutherland,1071705.0
12,D Hemalatha,961107.0
13,GL Wareham,
14,S Rana,33757.0
15,S Rana,556537.0
16,S Rana,794725.0
17,Tanuja Kanwar,960847.0
18,M Joshi,960815.0
19,M Patel,1159867.0
20,M Patel,307959.0
21,Meg Lanning,329336.0
22,S  Verma,
23,M Kapp,351836.0
24,J Rodrigues,
25,S Mandhana,597806.0
26,Sophie Devine,231740.0
27,Ellyse Perry,275487.0
28,Disha Kasat,961183.0
29,Richa Ghosh,1212830.0
30,Heather Knight,358259.0
31,Kanika Ahuja,1255560.0
32,Asha Sobhana,
33,Megan Schutt,420314.0
34,Preeti Bose,709843.0
35,SIR Dunkley,885815.0
36,Sushma Verma Devi,597821.0
37,Alyssa Healy,275486.0
38,SS Sehrawat,
39,K Navgire,
40,Tahlia McGrath,381311.0
41,D Sharma,
42,Grace Harris,381268.0
43,Simran Shaikh,1255541.0
44,DP Vaidya,709837.0
45,Sophie Ecclestone,878039.0
46,Shreyanka Patil,1289948.0
47,Renuka Singh,960853.0
48,Alice Capsey,1187120.0
49,Jess Jonassen,374936.0
50,KJ Garth,418423.0
51,Poonam Khemnar,1289979.0
52,Minnu Mani,960949.0
53,R Yadav,
54,T Bhatia,883423.0
55,SS Pandey,
56,Tara Norris,872217.0
57,Erin Burns,275447.0
58,Komal Zanzad,961195.0
59,Sahana Pawar,960931.0
60,L Wolvaardt,922481.0
61,Humaira Kazi,961005.0
62,Dhara Gujjar,1255408.0
63,AB Kaur,1255411.0
64,Jintimani Kalita,1255387.0
65,KA Sarvani,
66,R Gayakwad,
67,Arundhati,
68,Poonam Yadav,630972.0
69,S Ishaque,597815.0
70,Ashwani Kumari,1345792.0
71,P Chopra,500135.0
72,Jakob Bhula,1129632.0
73,I Mohammad,11111111118.0
74,Zen Malik,910361.0
75,Amrit Basra,1259994.0
76,Daaryoush Ahmed,1311039.0
77,Vikai Kelley,1231047.0
78,Monaam Abbas,1191366.0
79,Mohammed Rizvi,1178783.0
80,H Khan,11111111122.0
81,Adam Patel,11111111120.0
82,Vishnu Vinod,732293.0
83,Ryan Rickelton,605661.0
84,Naman Dhir,1287032.0
85,D Lakra,11111111113.0
86,Delano Potgieter,596442.0
87,Hrithik Shokeen,1175423.0
88,Arshad Khan,39005.0
89,Arshad Khan,1244751.0
90,Manav Suthar,1175426.0
91,Luvnith Sisodia,1155253.0
92,Akash Pandey,1246443.0
93,Yudhvir Singh,1206052.0
94,Nehal Wadhera,1151273.0
95,Ramandeep Singh,1079470.0
96,Beyers Swanepoel,698319.0
97,Shams Mulani,1131607.0
98,Pukhraj Mann,1299843.0
99,R Minz,11111111111.0
100,M Rizwi,11111111123.0
101,Piyush Chawla,32966.0
102,Vaisakh Chandran,1287068.0
103,Ollie Hairs,414973.0
104,Liam Naylor,1195683.0
105,Michael English,470900.0
106,Christopher McBride,1027779.0
107,Brandon McMullen,949473.0
108,Jack Jarvis,1278263.0
109,T Ahmad,11111111119.0
110,Jasper Davidson,1195676.0
111,Angus Guy,1195673.0
112,James Dickinson,1112224.0
113,Oliver Davidson,1278259.0
114,Rohit Rayudu,1083493.0
115,Sushant Mishra,1175457.0
116,R Kumar,11111111115.0
117,R Kumar,1198945.0
118,Ayush Shukla,1167779.0
119,S Crawley,11111111112.0
120,Scott Steel,1029993.0
121,Finlay McCreath,964085.0
122,Michael Leask,414966.0
123,Alasdair Evans,399259.0
124,William Smale,1158596.0
125,Ben Kellaway,1200126.0
126,Callum Taylor,1096822.0
127,Callum Taylor,654797.0
128,Morgan Bevans,1188372.0
129,Asa Tribe,1195664.0
130,Henry Hurle,1276118.0
131,H Bist,11111111116.0
132,Waqar Salamkheil,1108490.0
133,Thomas Bevan,1104894.0
134,Alex Horton,1147983.0
135,Callum Rhys Nicholls,1260391.0
136,Kumar Kartikeya,1159843.0
137,S Painkra,11111111117.0
138,J Clarke,
139,OJD Pope,
140,T Banton,877051.0
141,SR Hain,555850.0
142,BM Duckett,521637.0
143,JJ Cobb,308408.0
144,RF Higgins,572199.0
145,A Zampa,379504.0
146,NL Ahmad,
147,AL Davies,516039.0
148,JM Vince,296597.0
149,MP Stoinis,325012.0
150,Z Crawley,665053.0
151,AM Rossington,457280.0
152,GJ Maxwell,325026.0
153,D Lawrence,
154,EJG Morgan,24598.0
155,KA Pollard,230559.0
156,Jordan Thompson,766809.0
157,LA Dawson,211855.0
158,JJ Roy,298438.0
159,SM Curran,662973.0
160,WG Jacks,897549.0
161,SW Billings,297628.0
162,J Cox,4647.0
163,HWR Cartwright,557295.0
164,TK Curran,550235.0
165,SP Narine,230558.0
166,Danny Briggs,310107.0
167,JC Buttler,308967.0
168,PD Salt,669365.0
169,WL Madsen,46543.0
170,AD Russell,276298.0
171,PI Walter,909225.0
172,LJ Evans,256956.0
173,Adam Lyth,251721.0
174,F du Plessis,44828.0
175,MKS Pepper,
176,HC Brook,911707.0
177,DJ Willey,308251.0
178,D Wiese,221140.0
179,W Smeed,
180,MA Hammond,
181,MM Ali,8917.0
182,LS Livingstone,403902.0
183,DR Mousley,1172968.0
184,CG Benjamin,1149157.0
185,Benny Howell,211748.0
186,G Van Burren,
187,AD Hales,249866.0
188,DJ Malan,236489.0
189,C Munro,232359.0
190,JE Root,303669.0
191,Tom Kohler Cadmore,
192,L Gregory,362201.0
193,RR Rossouw,318845.0
194,DA Miller,321777.0
195,Ravi Bopara,10582.0
196,T Stubbs,595978.0
197,SA Abbott,398666.0
198,TW Hartley,1150772.0
199,FJ Klaassen,1104703.0
200,Matthew Parkinson,
201,DJ Bravo,51439.0
202,JA Simpson,54568.0
203,JA Simpson,21440.0
204,A John Hose,
205,RE van der Merwe,47850.0
206,BA Raine,459761.0
207,MS Wade,230193.0
208,Q de Kock,379143.0
209,TH David,892749.0
210,Ross Whiteley,288617.0
211,JK Fuller,451782.0
212,G Garton,
213,CJ Jordan,288992.0
214,JB Lintott,463668.0
215,T Mills,
216,JA Haynes,1110475.0
217,DJB Drummond,
218,R Ahmed,
219,I Cockbain,
220,TG Helm,512907.0
